SECTOR,YEAR,CENTRALITY,N_MAKE,N_USE,PCT_MAKE,PCT_USE
1.0,1997.0,0.055225426,6.0,64.0,0.02569672849257798,0.905514098692147
2.0,1997.0,0.000396412,3.0,31.0,0.017163750868553818,0.8219251070896892
3.0,1997.0,-0.000463001,2.0,29.0,0.017671284626219697,0.9984732097058708
4.0,1997.0,-0.011178469,1.0,6.0,0.005951686669326883,0.901281164008404
5.0,1997.0,0.011748359,1.0,23.0,0.010547274576823695,1.0
6.0,1997.0,0.011748359,2.0,9.0,0.006424985736103395,1.0
7.0,1997.0,0.005819471,11.0,140.0,0.13619361329584478,0.9289715677419046
8.0,1997.0,-0.034919758,7.0,135.0,0.0771042335691674,0.8946314096252456
9.0,1997.0,-0.236919149,5.0,68.0,0.042400226365265525,0.9637616756467783
10.0,1997.0,0.114929235,10.0,60.0,0.1861665999011135,0.9689799168829938
11.0,1997.0,-0.008510347,8.0,7.0,0.07336056752460807,0.938700601906574
12.0,1997.0,-0.008510347,7.0,188.0,0.10741655456861599,0.9572989354682258
13.0,1997.0,0.307458205,8.0,188.0,0.10381877073273016,0.9997724365929298
14.0,1997.0,0.153452388,8.0,188.0,0.1728072368451956,0.9959565275116027
15.0,1997.0,0.153452388,2.0,188.0,0.002114215083676263,0.9980293811955603
16.0,1997.0,-0.020993716,13.0,21.0,0.037659239637085395,0.9786063809553868
17.0,1997.0,-0.043533166,14.0,53.0,0.10039235260094903,0.7907903192642629
18.0,1997.0,0.048419998,10.0,32.0,0.030712768339059116,0.546528193523764
19.0,1997.0,-0.075523139,16.0,33.0,0.06840086156700931,0.5879260039462924
20.0,1997.0,0.035281418,12.0,42.0,0.05574580345818081,0.635208471762915
21.0,1997.0,0.074738438,13.0,53.0,0.0116078567164688,0.585946358027507
22.0,1997.0,0.069527354,6.0,26.0,0.02456285769231703,0.8905924738720707
23.0,1997.0,0.069527354,11.0,37.0,0.10234518895280675,0.8808098300642502
24.0,1997.0,-0.048004279,16.0,49.0,0.0905380025810385,0.9784877858278087
25.0,1997.0,-0.000221377,10.0,38.0,0.03781608569525374,0.868362979660199
26.0,1997.0,0.003264048,6.0,2.0,0.017384185405309505,0.6242374178171699
27.0,1997.0,0.003264048,26.0,123.0,0.09212883621183943,0.7230259782473769
28.0,1997.0,0.014528244,6.0,69.0,0.052947321336407116,0.4790980376177384
29.0,1997.0,0.014528244,12.0,71.0,0.026768061138312538,0.8272086503943847
30.0,1997.0,0.14269765,13.0,53.0,0.0731883151868511,0.8905784273352017
31.0,1997.0,0.14269765,22.0,155.0,0.1266813570372336,0.9139095758186028
32.0,1997.0,-0.024423119,13.0,180.0,0.04280382207190381,0.9363637425845861
33.0,1997.0,-0.013720397,26.0,179.0,0.08380181143398979,0.9748076326972399
34.0,1997.0,-0.051906879,17.0,126.0,0.29163006239314193,0.9113977341234789
35.0,1997.0,-0.051906879,20.0,188.0,0.06906511421449812,0.9646353103542885
36.0,1997.0,0.104306635,25.0,175.0,0.20969538640851682,0.7783300834607403
37.0,1997.0,0.104306635,17.0,65.0,0.24465916749753047,0.9268743699804931
38.0,1997.0,-5.65e-05,9.0,68.0,0.0487059093879989,0.8800311550293918
39.0,1997.0,-0.057370534,17.0,39.0,0.1662458711290925,0.7656955486261131
40.0,1997.0,-0.057980482,16.0,157.0,0.07624752395008738,0.9777519792787347
41.0,1997.0,-0.057980482,25.0,116.0,0.10693284031762595,0.6561496042162669
