Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
1,10377.738000,7029.665000,0.000000,0.000000,0.000000,328.927000,0.000000,13.164000,31.156000,20.744000,33.397000,0.000000,0.000000,0.000000,2114.051000,7243.920000,30393.421000,2114.827000,6540.841000,175.165000,0.448000,0.000000,1909.131000,12627.504000,3396.481000,1294.682000,1903.089000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8189.369000,0.000000,0.000000,119.921000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,624.020000,848.954000,512.796000,826.334000,129.229000,399.237000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.133000,0.000000,0.000000,0.000000,0.511000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.006000,0.592000,0.000000,0.000000,3.453000,0.000000,0.000000,0.000000,0.000000,3.060000,12.569000,20.161000,0.000000,2.043000,13.885000,67.493000,73.837000,0.000000,2.872000,1.178000,0.000000,0.000000,1.478000,0.000000,0.000000,1174.500000,1.036000,0.000000,19.038000,53.363000,0.556000,0.511000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248000,0.248000,0.508000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.473000,23.837000,21.488000,10.037000,235.093000,0.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.072000,0.000000,6.766000,0.000000,0.000000,0.261000,0.254000,0.000000,0.000000,0.000000,0.000000,0.000000,0.916000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3036.394000,0.130000,0.000000,0.000000,0.000000,0.000000,67608.506000
2,391.882000,24748.195000,16.598000,0.000000,0.000000,471.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.880000,202.495000,33025.169000,85138.037000,706.877000,616.891000,1673.209000,0.000000,0.000000,550.785000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.839000,630.208000,0.000000,126.986000,31.311000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.588000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,387.557000,0.000000,0.000000,17.470000,0.000000,0.000000,0.000000,0.000000,0.000000,6.997000,0.000000,0.000000,0.000000,4.568000,51.376000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262000,0.263000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.138000,40.670000,218.230000,13.455000,782.258000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,526.277000,0.000000,0.000000,0.000000,0.000000,0.000000,1920.738000
3,0.000000,0.000000,78.199000,2525.824000,0.000000,5.643000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.531000,0.000000,0.000000,0.000000,0.000000,0.000000,220.833000,67.016000,0.000000,0.000000,108.264000,2521.181000,207.951000,440.258000,0.000000,0.000000,48.887000,13.573000,317.634000,7.874000,151.743000,0.000000,73.374000,0.000000,3.672000,0.000000,2347.135000,0.000000,0.000000,0.000000,2.081000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.524000,0.000000,0.000000,0.513000,0.000000,0.000000,0.000000,0.000000,43.375000,0.000000,0.000000,0.000000,274.622000,0.000000,0.000000,0.000000,0.000000,3.123000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.932000,0.000000,0.000000,0.477000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.045000,0.000000,0.000000,0.583000,2.073000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.252000,0.000000,0.000000,0.000000,0.000000,0.000000,-3075.553000
4,0.000000,0.000000,0.000000,673.726000,0.000000,0.000000,0.000000,83.296000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3980.026000,1818.932000,583.214000,4274.171000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.196000,0.000000,0.000000,0.000000,0.000000,0.000000,1389.377000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,297.991000,0.000000,0.000000,733.542000,0.000000,634.819000,4370.369000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.878000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,608.825000,0.000000,0.000000,0.000000,0.000000,0.471000,0.000000,0.000000,0.000000,2.983000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.919000,0.000000,0.000000,0.334000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.645000,12.023000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.501000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.576000,19.613000,110.946000,325.259000,2913.027000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.839000,0.000000,57.958000,0.000000,0.000000,0.000000,18.128000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,404.059000,0.000000,0.000000,0.000000,0.000000,0.000000,-1334.006000
6,16980.717000,3015.611000,2466.265000,321.224000,15.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.563000,0.000000,0.000000,8.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,136.658000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2826.370000,0.000000,0.000000,0.000000,0.000000,0.000000,199.631000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38176.225000,0.411000,1.309000,14.097000,1.971000,17598.997000,28085.856000,24.029000,0.000000,0.185000,0.298000,0.357000,0.000000,0.185000,0.227000,0.079000,0.174000,0.139000,0.172000,0.172000,0.495000,0.000000,1.123000,1.173000,0.698000,3.518000,0.451000,0.497000,403632.824000,6053.704000,89.874000,15.329000,33.410000,4.391000,12.569000,84.212000,1.971000,0.998000,0.000000,0.211000,0.157000,0.128000,1.200000,0.000000,44.940000,0.000000,0.587000,0.134000,0.000000,0.153000,0.153000,0.000000,0.000000,0.180000,0.248000,0.118000,0.078000,0.068000,0.073000,0.071000,0.066000,0.068000,0.068000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.491000,0.000000,0.000000,0.284000,0.061000,0.147000,0.000000,0.247000,0.246000,0.000000,0.246000,0.248000,28.859000,4.974000,6.962000,3.980000,16.904000,0.000000,0.000000,0.000000,0.000000,0.496000,77.553000,0.000000,0.000000,2.972000,0.473000,0.520000,0.498000,0.195000,0.004000,0.424000,0.186000,0.186000,0.220000,0.277000,0.000000,0.577000,0.249000,0.254000,0.498000,0.126000,0.125000,0.126000,0.121000,0.497000,0.348000,8.231000,0.420000,0.498000,0.199000,0.949000,0.719000,0.097000,42.442000,0.220000,0.494000,0.174000,0.311000,0.204000,0.174000,0.138000,0.282000,3.972000,0.388000,1.327000,3.253000,2.142000,2.233000,0.778000,1.106000,0.205000,0.479000,1.017000,31.722000,9.928000,2.105000,1.333000,1.497000,0.133000,0.335000,0.599000,0.388000,0.529000,1.018000,3.084000,7.812000,22.824000,63.524000,6.334000,0.470000,1.406000,0.444000,1.110000,0.813000,10.756000,0.862000,0.000000,0.229000,6.351000,0.000000,0.000000,1669.357000,83.745000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14765.396000,0.000000,0.000000,0.000000,7230.504000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-270470.452000
8,0.000000,681.853000,0.000000,1.440000,0.000000,0.000000,82.583000,3041.050000,50.115000,60.056000,15.450000,13654.324000,0.000000,0.000000,0.000000,90.963000,424.353000,152.153000,204.889000,173.937000,226.907000,42.605000,132.791000,158.290000,172.202000,35.915000,97.658000,0.516000,2.675000,3.080000,3.567000,1219.634000,150.346000,0.000000,778.474000,333.574000,62.769000,10.886000,21.413000,3.228000,8.747000,9.663000,93.506000,37.986000,116.824000,339.621000,489.346000,417.465000,4436.318000,67.929000,312.991000,136.672000,176.920000,1.604000,0.526000,3.039000,0.533000,0.520000,0.495000,1.777000,2.437000,1.838000,2.758000,2.331000,1.152000,1.028000,1.018000,1.162000,3.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.094000,0.426000,1.873000,4.503000,11.267000,1.309000,18.500000,6.533000,0.855000,2.144000,0.472000,2.334000,1.869000,0.318000,0.000000,0.000000,11.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263000,0.000000,2.057000,0.459000,0.000000,0.000000,0.392000,0.046000,0.418000,0.430000,0.430000,0.000000,0.000000,0.508000,0.599000,0.000000,0.526000,0.151000,0.085000,0.085000,0.085000,0.000000,0.516000,0.507000,10.419000,0.000000,0.516000,0.000000,67.073000,0.514000,0.516000,41.646000,0.444000,0.844000,0.051000,0.448000,0.470000,0.000000,0.656000,0.446000,1.276000,9.934000,2.958000,0.457000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.998000,7.494000,1.737000,1.186000,1.109000,0.000000,0.509000,0.000000,0.000000,0.994000,0.526000,2.248000,6.294000,14.237000,420.485000,3.103000,0.469000,0.803000,0.476000,0.467000,0.548000,6.453000,0.465000,0.000000,0.476000,4.778000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2638.111000,0.000000,3940.709000,0.000000,0.000000,0.000000,1929.530000,0.000000,0.000000,0.000000,0.000000,745.869000,0.000000,0.000000,0.000000,0.000000,0.000000,5202.580000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1157.522000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.206000,2071.837000,0.000000,155.182000,0.000000,108.141000,0.000000,38.838000,0.000000,0.000000,20.996000,4.782000,4.185000,91.356000,5124.762000,133.089000,694.467000,6050.065000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,326.632000,0.000000,89.108000,74.920000,56.506000,0.000000,0.000000,0.000000,33.552000,0.000000,0.000000,0.132000,6.534000,4.159000,0.000000,0.000000,0.000000,0.000000,0.000000,85.058000,7.717000,0.000000,0.000000,29.286000,19.653000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.389000,176.588000,4.436000,0.522000,0.000000,0.000000,1.042000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.868000,0.000000,11.502000,17.611000,9.763000,52.217000,0.000000,12.343000,29.013000,53.050000,0.000000,0.000000,0.000000,0.000000,0.156000,0.088000,0.088000,0.088000,0.000000,0.000000,0.000000,206.381000,0.000000,0.000000,0.000000,164.069000,0.000000,0.000000,2.127000,0.000000,0.000000,0.000000,0.000000,0.000000,121.986000,178.231000,0.000000,38.290000,0.000000,0.000000,220.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.208000,16.378000,0.000000,0.000000,0.000000,167.066000,12.404000,23.536000,1.936000,0.000000,3.237000,0.000000,542.121000,57.431000,21.772000,7.507000,56.511000,26.622000,0.000000,325.782000,0.362000,0.000000,20.363000,0.000000,62.280000,48.548000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.884000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9542.734000
10,1386.185000,181.010000,0.000000,0.000000,0.000000,0.647000,0.000000,461.696000,7.662000,994.400000,39.961000,273.678000,5.453000,163.699000,11714.114000,204.218000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,358.505000,0.000000,0.000000,511.783000,785.430000,0.000000,1248.171000,0.000000,386.321000,26.277000,97.536000,0.000000,0.000000,301.724000,354.192000,4036.127000,1454.059000,53.655000,0.000000,0.000000,0.000000,191.240000,0.000000,1.282000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.923000,0.000000,0.418000,0.000000,1.747000,8.266000,0.000000,0.000000,0.000000,6.291000,0.000000,0.879000,0.000000,0.000000,0.000000,14.860000,0.000000,0.000000,0.000000,0.000000,0.000000,60.603000,0.000000,0.000000,0.000000,14.724000,0.000000,0.000000,0.000000,1.885000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,117.969000,0.513000,4.376000,0.545000,0.000000,0.805000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.319000,11.464000,38.650000,0.297000,0.424000,0.000000,0.000000,0.000000,0.000000,0.000000,0.507000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,266.136000,0.000000,0.000000,0.000000,122.564000,0.000000,0.329000,5.749000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.133000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.543000,0.000000,0.000000,0.000000,0.000000,0.000000,1.078000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,195.204000,0.000000,96.492000,0.000000,0.000000,0.000000,47.489000,0.000000,0.000000,0.000000,0.000000,1111.281000,0.266000,0.000000,0.000000,0.000000,0.000000,-580.254000
