Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
1,9229.799000,5412.465000,0.000000,0.000000,0.000000,249.965000,0.000000,8.763000,17.361000,15.383000,24.518000,0.000000,0.000000,0.000000,2069.586000,3959.981000,20197.609000,2590.412000,4005.088000,200.594000,0.478000,0.000000,1024.085000,8786.883000,1683.834000,1429.504000,1810.796000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4930.658000,0.000000,0.000000,216.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,547.249000,92.135000,329.291000,481.777000,82.724000,264.544000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.789000,0.000000,0.000000,0.000000,0.496000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.488000,0.560000,0.000000,0.000000,3.401000,0.000000,0.000000,0.000000,0.000000,0.994000,12.178000,24.840000,0.000000,0.994000,9.180000,45.970000,70.738000,0.000000,4.022000,0.383000,0.000000,0.000000,0.548000,0.000000,0.000000,709.871000,0.488000,0.000000,12.709000,26.623000,0.449000,0.497000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.251000,0.252000,0.496000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.318000,13.346000,22.641000,6.829000,136.295000,0.471000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.865000,0.000000,3.447000,0.000000,0.000000,0.258000,0.242000,0.000000,0.000000,0.000000,0.000000,0.000000,0.927000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1959.582000,0.023000,0.000000,0.000000,0.000000,0.000000,53161.101000
2,369.901000,20079.589000,22.332000,0.000000,0.000000,302.397000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71.667000,188.526000,28564.052000,65529.284000,593.873000,509.088000,1337.398000,0.000000,0.000000,199.596000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.744000,127.204000,0.000000,106.553000,31.536000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.866000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.400000,0.000000,0.000000,14.756000,0.000000,0.000000,0.000000,0.000000,0.000000,1.895000,0.000000,0.000000,0.000000,4.020000,35.665000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.244000,0.244000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.301000,21.286000,115.927000,10.944000,641.426000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.514000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,331.011000,0.000000,0.000000,0.000000,0.000000,0.000000,4106.264000
3,0.000000,0.000000,79.898000,3690.842000,0.000000,5.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.579000,0.000000,0.000000,0.000000,0.000000,0.000000,126.033000,42.674000,0.000000,0.000000,39.205000,4176.003000,327.214000,772.805000,0.000000,0.000000,47.287000,6.045000,264.392000,6.628000,109.357000,0.000000,71.428000,0.000000,2.690000,0.000000,1852.026000,0.000000,0.000000,0.000000,1.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.507000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,34.137000,0.000000,0.000000,0.000000,291.923000,0.000000,0.000000,0.000000,0.000000,1.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.914000,0.000000,0.000000,0.471000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.007000,0.000000,0.000000,0.438000,0.402000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.630000,0.000000,0.000000,0.000000,0.000000,0.000000,-2046.555000
4,0.000000,0.000000,0.000000,947.986000,0.000000,0.000000,0.000000,83.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6325.184000,2683.376000,1010.334000,3804.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.853000,0.000000,0.000000,0.000000,0.000000,0.000000,1574.973000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,341.028000,0.000000,0.000000,996.196000,0.000000,652.566000,4630.306000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.109000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,561.678000,0.000000,0.000000,0.000000,0.000000,0.535000,0.000000,0.000000,0.000000,2.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.186000,0.000000,0.000000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.872000,10.713000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.543000,0.545000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.437000,19.280000,125.408000,297.383000,2847.369000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.529000,0.000000,54.100000,0.000000,0.000000,0.000000,27.213000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,393.044000,0.000000,0.000000,0.000000,0.000000,0.000000,-3670.393000
6,14044.762000,2967.045000,3277.583000,392.444000,18.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.955000,0.000000,0.000000,8.043000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.674000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2435.806000,0.000000,0.000000,0.000000,0.000000,0.000000,166.308000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28145.915000,0.768000,1.992000,21.006000,4.920000,23542.736000,43013.765000,23.614000,0.000000,0.320000,1.299000,0.641000,0.000000,0.337000,0.969000,0.256000,0.310000,0.000000,0.550000,0.315000,0.498000,0.000000,5.286000,6.719000,2.932000,11.943000,0.000000,1.995000,337025.937000,9183.338000,222.066000,38.049000,92.320000,10.072000,35.166000,209.344000,9.234000,4.691000,0.000000,0.493000,0.508000,0.000000,4.160000,0.000000,104.359000,0.000000,0.789000,0.579000,0.000000,0.311000,0.306000,0.000000,0.000000,0.623000,1.159000,0.000000,0.258000,0.123000,0.122000,0.122000,0.123000,0.120000,0.124000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.502000,0.988000,0.000000,0.000000,0.338000,0.000000,0.161000,0.000000,0.251000,0.247000,0.000000,0.249000,0.249000,45.907000,8.984000,12.972000,6.986000,38.919000,0.000000,0.000000,0.000000,0.000000,0.498000,148.538000,0.000000,0.000000,4.991000,6.308000,0.630000,0.997000,3.417000,0.069000,5.120000,0.671000,0.700000,0.180000,0.320000,0.000000,0.562000,0.251000,0.256000,0.491000,0.124000,0.126000,0.125000,0.124000,0.499000,0.885000,18.852000,1.797000,0.997000,0.426000,3.045000,2.857000,0.351000,92.491000,1.233000,2.908000,0.577000,0.570000,2.485000,0.571000,0.000000,1.616000,14.929000,0.484000,2.455000,5.072000,6.228000,4.718000,2.679000,3.343000,0.582000,1.338000,1.062000,58.673000,35.907000,3.198000,1.853000,3.882000,0.487000,1.352000,3.541000,0.836000,2.784000,3.158000,6.433000,18.290000,43.692000,124.480000,18.094000,1.231000,2.511000,1.779000,2.349000,4.466000,31.789000,1.976000,0.000000,0.786000,14.758000,0.000000,0.000000,1358.327000,22.674000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10747.212000,0.000000,0.000000,0.000000,5458.153000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-245932.900000
8,0.000000,788.156000,0.000000,1.501000,0.000000,0.000000,38.445000,3433.387000,55.783000,78.318000,20.514000,10023.164000,0.000000,0.000000,0.000000,137.041000,582.885000,137.256000,296.534000,169.557000,326.753000,41.441000,174.782000,186.122000,172.471000,31.966000,239.847000,0.519000,5.137000,7.206000,6.343000,1869.542000,235.304000,0.000000,565.709000,389.380000,80.072000,13.898000,31.892000,3.705000,13.175000,11.638000,187.995000,78.484000,259.095000,563.226000,823.532000,629.991000,5136.121000,120.747000,508.892000,162.172000,306.315000,2.339000,0.741000,5.116000,0.724000,0.730000,0.757000,2.345000,4.019000,2.742000,3.781000,4.714000,1.240000,1.791000,1.809000,2.222000,7.588000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.652000,1.177000,2.543000,5.376000,23.270000,2.689000,37.956000,11.568000,1.655000,1.734000,0.525000,5.529000,4.290000,0.548000,0.000000,0.000000,9.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.373000,0.000000,2.081000,1.077000,0.000000,0.000000,0.809000,0.178000,0.811000,0.784000,0.818000,0.000000,0.000000,0.510000,0.585000,0.000000,0.535000,0.354000,0.088000,0.090000,0.089000,0.000000,0.520000,0.691000,7.697000,0.000000,0.520000,0.000000,65.945000,0.696000,0.697000,41.141000,0.910000,1.015000,0.139000,0.908000,0.906000,0.000000,1.847000,0.914000,1.768000,18.273000,3.216000,0.723000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.994000,16.205000,1.023000,0.684000,1.051000,0.000000,0.946000,0.000000,0.000000,1.721000,1.046000,2.999000,11.364000,13.648000,372.490000,4.874000,0.874000,0.893000,0.888000,0.886000,1.070000,9.881000,0.884000,0.000000,0.886000,7.118000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1156.035000,0.000000,1567.265000,0.000000,0.000000,0.000000,796.034000,0.000000,0.000000,0.000000,0.000000,609.550000,0.000000,0.000000,0.000000,0.000000,0.000000,1480.744000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1398.622000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.066000,1864.838000,0.000000,84.757000,0.000000,108.173000,0.000000,32.808000,0.000000,0.000000,29.080000,6.010000,7.693000,65.910000,4276.436000,107.843000,662.483000,4783.617000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,409.655000,0.000000,93.582000,108.233000,48.443000,0.000000,0.000000,0.000000,34.264000,0.000000,0.000000,2.028000,42.906000,44.632000,0.000000,0.000000,0.000000,0.000000,0.000000,92.330000,5.075000,0.000000,0.000000,24.239000,17.893000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.540000,374.786000,2.748000,0.507000,0.000000,0.000000,2.793000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.652000,0.000000,92.108000,48.368000,8.728000,64.068000,0.000000,8.137000,14.233000,7.646000,0.000000,0.000000,0.000000,0.000000,0.327000,0.082000,0.083000,0.082000,0.000000,0.000000,0.000000,181.121000,0.000000,0.000000,0.000000,129.648000,0.000000,0.000000,1.793000,0.000000,0.000000,0.000000,0.000000,0.000000,116.932000,165.312000,0.000000,50.827000,0.000000,0.000000,225.772000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.018000,19.661000,0.000000,0.000000,0.000000,114.056000,19.191000,35.520000,3.286000,0.000000,4.414000,0.000000,659.534000,52.242000,17.369000,8.289000,40.695000,20.856000,0.000000,257.269000,0.644000,0.000000,45.474000,0.000000,50.127000,57.984000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.721000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4806.767000
10,688.023000,138.536000,0.000000,0.000000,0.000000,0.541000,0.000000,438.661000,6.139000,1165.109000,48.622000,66.209000,5.702000,21.406000,14831.888000,148.604000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,304.580000,0.000000,0.000000,359.060000,546.347000,0.000000,507.139000,0.000000,294.786000,38.362000,97.681000,0.000000,0.000000,390.831000,390.693000,5438.651000,1352.521000,28.250000,0.000000,0.000000,0.000000,87.592000,0.000000,1.832000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.957000,0.000000,0.623000,0.000000,2.430000,13.654000,0.000000,0.000000,0.000000,37.983000,0.000000,1.351000,0.000000,0.000000,0.000000,17.762000,0.000000,0.000000,0.000000,0.000000,0.000000,51.729000,0.000000,0.000000,0.000000,26.100000,0.000000,0.000000,0.000000,3.735000,0.000000,0.000000,0.000000,0.000000,0.244000,0.000000,82.045000,0.493000,4.031000,0.502000,0.000000,0.142000,0.000000,0.000000,0.003000,0.004000,0.000000,0.272000,0.561000,18.642000,44.640000,0.278000,0.453000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,189.125000,0.000000,0.000000,0.000000,65.230000,0.000000,0.000000,3.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.354000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.792000,0.000000,0.000000,0.000000,0.000000,0.000000,1.603000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.900000,0.000000,39.994000,0.000000,0.000000,0.000000,20.246000,0.000000,0.000000,0.000000,0.000000,643.716000,0.127000,0.000000,0.000000,0.000000,0.000000,497.790000
